English word,French word,Frequency
Majesty;,majesté,270
traitor,traitre,205
Majesty,majesté,270
fears.,peurs,77
"uncle,",oncle,256
together.,ensemble,281
spare,de rechange,68
enough.,assez,313
"practice,",entraine toi,56
maiden;,jeune fille,78
college,Université,227
"judgment,",jugement,117
pains.,des douleurs,92
modest,modeste,100
"peril,",péril,65
remedy.,remède,59
minister.,ministre,62
"pains,",des douleurs,92
shows;,montre,103
consent;,consentement,112
proclaim,proclamer,80
Myself,moi même,567
grace.,la grâce,719
Health,santé,120
Worth,vaut,594
"courage,",courage,89
happiness,bonheur,59
hazard,danger,47
Skill,compétence,62
infinite,infini,43
desperate.,désespéré,54
"spoke,",parlait,219
command.,commander,291
"France,",France,529
state;,Etat,405
"patient,",patient,130
welcome,Bienvenue,380
blest.,heureux,84
proceed,procéder,134
match,rencontre,119
taught.,enseigné,55
court!,tribunal,474
"special,",spécial,64
contempt?,mépris,55
"Truly,",vraiment,172
"nothing,",rien,640
"hands,",mains,342
"fellow,",compagnon,445
court;,tribunal,474
"chair,",chaise,46
mouth;,bouche,200
"constable,",gendarme,90
"neither,",ni,186
learn.,apprendre,225
"could,",pourrait,654
"question,",question,177
answer.,répondre,480
warrant,mandat,195
think.,pense,1368
business:,Entreprise,236
Commend,saluer,155
Haste,hâte,219
Hence,Par conséquent,583
times.,fois,302
Right;,droite,878
world.,monde,925
Effect,effet,116
strange;,étrange,365
tedious,fastidieux,51
"minister,",ministre,62
"should,",devrait,1716
"better,",mieux,612
please.,S'il vous plaît,449
mouth,bouche,200
beard.,barbe,124
protest,manifestation,67
already.,déjà,148
"receive,",recevoir,144
grant;,subvention,152
leave.,laisser,748
afraid,peur,41
Blessing,bénédiction,67
"happy,",heureux,243
blood.,du sang,947
FOURTH,Quatrième,51
power.,Puissance,382
liege!,Liege,145
"Highness,",altesse,189
charge.,charge,493
Strange,étrange,365
"colour,",Couleur,168
"weight,",poids,63
"together,",ensemble,281
mighty.,puissant,117
"proceed,",procéder,134
title.,Titre,121
creature,créature,110
Virtue,vertu,244
Proud,fier,249
unworthy,indigne,36
desert;,désert,65
contempt;,mépris,55
Believe,croyez,253
revenge,vengeance,189
"justice,",Justice,265
Speak;,parler,1413
Flies,mouches,62
estate,biens,58
Smile,sourire,125
master!,Maître,991
speak?,parler,1413
companion,un compagnon,55
count;,compter,878
"sirrah,",sirrah,148
fellow;,compagnon,445
burden.,fardeau,62
scarce,rare,90
"anger,",colère,365
trial;,procès,65
window,la fenêtre,69
contrary.,contraire,47
"beaten,",battu,50
"knowledge,",connaissance,99
eternal;,éternel,40
patient;,patient,130
authority.,autorité,55
lordship,seigneurie,128
master.,Maître,991
fashion?,mode,125
beaten,battu,50
commission,commission,52
awhile.,quelque temps,102
"Undone,",défait,55
cares,se soucie,36
priest,prêtre,92
"sworn,",juré,197
France,France,529
tread,bande de roulement,57
mother;,mère,479
known.,connu,233
"Therefore,",par conséquent,627
"house,",maison,662
strike.,la grève,205
chamber,chambre,220
sorrow.,chagrin,244
bound;,lié,229
noise,bruit,117
wrong;,faux,379
health;,santé,120
"merry,",joyeux,170
"given,",donné,205
world;,monde,925
whither,où,89
"title,",Titre,121
"search,",chercher,61
Attend,assister,416
everything,tout,42
report,rapport,186
soldier.,soldat,491
valiant.,vaillant,162
valour;,valeur,101
tailor?,tailleur,58
tailor.,tailleur,58
Given,donné,205
order,ordre,145
dinner;,dîner,98
beaten.,battu,50
between,entre,241
displeasure.,mécontentement,43
prayers.,prières,85
clothes;,vêtements,41
speech,discours,163
Spoke,parlait,219
"course,",cours,253
particular.,particulier,72
business;,Entreprise,236
entreat,supplier,159
wisdom.,sagesse,105
servant.,serviteur,543
fortune.,fortune,485
great.,génial,1147
Farewell;,adieu,355
Something;,quelque chose,183
"would,",aurait,2456
flight.,vol,56
Flourish.,fleurir,146
attended;,assisté,46
"point,",point,256
after.,après,543
quarrel,querelle,129
"yield,",rendement,202
figure,figure,66
council,conseil,58
field.,champ,242
along,le long de,112
country,pays,243
begin,commencer,188
there.,Là,3094
undone,défait,55
eternal.,éternel,40
yonder,là-bas,74
comfort;,confort,254
would.,aurait,2456
patience.,la patience,208
"court,",tribunal,474
"letter,",lettre,384
"finger,",doigt,114
husband;,mari,373
dreadful,horrible,61
sentence.,phrase,45
Brought,apporté,196
cheer;,acclamation,131
child.,enfant,392
soldier?,soldat,491
purpose;,objectif,261
speed.,la vitesse,287
bitter.,amer,96
there?,Là,3094
until,jusqu'à,78
"Indeed,",En effet,438
fellow,compagnon,445
Written,écrit,35
along.,le long de,112
affairs.,affaires,68
"country,",pays,243
violent,violent,49
there;,Là,3094
flight,vol,56
night;,nuit,1216
General,général,236
Horse,cheval,335
strength;,force,143
hazard.,danger,47
forth;,en avant,441
mistress!,maîtresse,461
letter,lettre,384
letter?,lettre,384
Saint,Saint,149
ground,sol,182
"Write,",écrire,162
"peace,",paix,556
heels,talons,83
embrace,embrasse,84
Pardon,pardon,327
husband?,mari,373
"thrive,",prospérer,62
"prayers,",prières,85
"grant,",subvention,152
wrath,colère,73
justice.,Justice,265
light.,lumière,611
Dispatch,envoi,92
messenger.,Messager,334
return;,revenir,281
"heavy,",lourd,169
Grief,douleur,274
WIDOW.,veuve,142
approach,approche,103
service.,un service,485
labour;,la main d'oeuvre,129
MARIANA.,Mariana,48
companion.,un compagnon,55
Parolles;,parolles,175
"oaths,",serments,87
under;,sous,678
misery,misère,39
further;,plus loin,194
house:,maison,662
another.,un autre,455
Whither,où,89
bound?,lié,229
"tarry,",goudronneux,50
conduct,conduite,53
hostess,hôtesse,112
myself.,moi même,567
yourself?,toi même,280
France?,France,529
"surely,",sûrement,42
Parolles.,parolles,175
purpose.,objectif,261
indeed;,En effet,438
"Enter,",entrer,2519
whole,entier,161
gallant,galant,72
honest.,honnête,406
rascal.,coquin,90
battle.,bataille,146
something.,quelque chose,183
"courtesy,",courtoisie,66
"bound,",lié,229
Already,déjà,148
house.,maison,662
"further,",plus loin,194
offer,offre,178
respect.,le respect,144
"malice,",malice,72
"coward,",lâche,150
quality,qualité,58
fetch,chercher,129
undertake,entreprendre,51
suddenly,tout à coup,50
enemy.,ennemi,167
deliver,livrer,200
anything.,n'importe quoi,105
bottom,bas,110
success,Succès,88
counterfeit,contrefaire,69
"entertainment,",divertissement,38
comes.,vient,701
disposition.,disposition,51
command:,commander,291
"wings,",ailes,57
service;,un service,485
success.,Succès,88
dishonour,déshonorer,70
"stomach,",estomac,62
"soldier,",soldat,491
midnight,minuit,43
valiant;,vaillant,162
water.,eau,207
Certain,certain,236
"favour,",favoriser,203
sport,sport,168
"parted,",séparé,56
"brother,",frère,734
lordship.,seigneurie,128
fault.,faute,280
creature;,créature,110
reputation,réputation,47
counsel,Conseil,176
"cannot,",ne peux pas,762
purse,bourse,107
"consent,",consentement,112
choice;,choix,72
encounter;,rencontre,61
Herself,se,98
Every,chaque,558
meaning,sens,64
matter;,matière,385
SOLDIER.,soldat,491
Knows,sait,213
voice?,voix,213
fancy;,fantaisie,68
purpose:,objectif,261
"enough,",assez,313
tongue.,langue,503
ignorant,ignorant,48
purpose?,objectif,261
"Tongue,",langue,503
"mouth,",bouche,200
possible,possible,98
sword.,épée,427
beard;,barbe,124
"clothes,",vêtements,41
swore,juré,60
"ransom,",une rançon,66
ransom!,une rançon,66
"French,",français,267
Something,quelque chose,183
brother,frère,734
"Captain,",capitaine,206
quality?,qualité,58
"maiden,",jeune fille,78
"ourselves,",nous-mêmes,188
sworn!,juré,197
witness.,témoin,142
opinion.,opinion,97
Change,changement,246
Stand,supporter,944
ourselves.,nous-mêmes,188
proper,correct,100
"comes,",vient,701
knock,frappe,143
window;,la fenêtre,69
Remain,rester,127
strong;,fort,279
oaths.,serments,87
Marry,marier,377
since.,depuis,462
nature;,la nature,412
displeasure,mécontentement,43
company,entreprise,215
midnight;,minuit,43
counterfeit.,contrefaire,69
other.,autre,2845
peace.,paix,556
"perceive,",apercevoir,103
counsel.,Conseil,176
grief;,douleur,274
tears!,larmes,294
MESSENGER,Messager,334
master?,Maître,991
SERVANT.,serviteur,543
"street,",rue,133
France.,France,529
midnight?,minuit,43
success:,Succès,88
needs.,Besoins,147
hereafter.,"ci-après, par la suite",49
Soldier?,soldat,491
forth.,en avant,441
wench,jeune fille,85
SOLDIER,soldat,491
general.,général,236
"truly,",vraiment,172
demand,demande,89
"credit,",crédit,73
practice,entraine toi,56
dagger.,dague,57
"company,",entreprise,215
"sound,",du son,333
"Nothing,",rien,640
Demand,demande,89
"condition,",état,89
"valour,",valeur,101
"possible,",possible,98
innocent,innocent,56
hands;,mains,342
falls.,des chutes,82
search.,chercher,61
paper.,papier,122
"protest,",manifestation,67
behalf,nom,46
rogue!,coquin,108
"match,",rencontre,119
endure,supporter,81
repent,se repentir,77
freely;,librement,55
"therefore,",par conséquent,627
"steal,",voler,130
oaths;,serments,87
except,sauf,60
certain.,certain,236
revolt.,révolte,64
"Horse,",cheval,335
"General,",général,236
drums!,tambours,42
danger.,danger,224
taken?,pris,104
death!,décès,931
"undone,",défait,55
sword;,épée,427
shame.,la honte,366
thrive.,prospérer,62
alive.,vivant,93
"WIDOW,",veuve,142
throne,trône,75
kneel.,s'agenouiller,116
"office,",Bureau,351
"where,",où,1873
welcome.,Bienvenue,380
labour,la main d'oeuvre,129
Doubt,doute,255
behalf.,nom,46
suffer.,souffrir,162
"summer,",été,100
sharp.,tranchant,90
crown.,couronne,395
colour.,Couleur,168
"flesh,",la chair,142
"rather,",plutôt,323
knave;,fripon,239
prince,prince,1126
Black,noir,197
"Prince,",prince,1126
Prince,prince,1126
Darkness;,obscurité,39
devil.,diable,293
purse.,bourse,107
enter.,entrer,2519
tender:,soumissionner,176
unhappy.,malheureux,39
authority,autorité,55
daughter;,fille,494
Highness,altesse,189
ladyship,Madame,45
knows;,sait,213
belike,être comme,42
street,rue,133
court,tribunal,474
goodness;,la bonté,56
presence.,présence,107
pains!,des douleurs,92
going.,Aller,111
means.,veux dire,264
again;,encore,1364
letter.,lettre,384
henceforth,désormais,41
further.,plus loin,194
"displeasure,",mécontentement,43
withal.,avec,153
"foolish,",insensé,103
business.,Entreprise,236
passion!,la passion,147
knave!,fripon,239
devil?,diable,293
coming;,venir,172
follow.,suivre,562
liege;,Liege,145
Natural,Naturel,105
pardon:,pardon,327
Offence,infraction,121
mighty,puissant,117
pardon;,pardon,327
offence,infraction,121
"approach,",approche,103
should.,devrait,1716
liege.,Liege,145
spoke?,parlait,219
Highness.,altesse,189
match.,rencontre,119
"season,",saison,69
whole;,entier,161
Durst,durst,51
tongue;,langue,503
Contempt,mépris,55
object.,objet,54
"myself,",moi même,567
grave.,la tombe,244
bless!,bénir,277
"beard,",barbe,124
finger.,doigt,114
stood,se tenait,107
"paper,",papier,122
Receive,recevoir,144
rough,rugueux,634
"deadly,",mortel,51
close,proche,168
Having,ayant,158
little.,peu,484
Prove,prouver,371
herself.,se,98
undone.,défait,55
justice,Justice,265
wives,épouses,65
"lordship,",seigneurie,128
ancient,ancien,82
"understand,",comprendre,123
"bring,",apporter,526
further?,plus loin,194
respect,le respect,144
"issue,",problème,129
utter,prononcer,121
anything?,n'importe quoi,105
bought.,acheté,51
patient.,patient,130
"story,",récit,93
woman?,femme,512
woman.,femme,512
marriage?,mariage,122
going,Aller,111
"already,",déjà,148
aside.,de côté,468
yours?,le tiens,609
prison,prison,260
while?,tandis que,437
"guilty,",coupable,71
guilty.,coupable,71
meaning.,sens,64
thing.,chose,1713
pardon!,pardon,327
"liege,",Liege,145
dearly.,chèrement,42
appear,apparaître,231
"plain,",plaine,242
Deadly,mortel,51
living?,vivant,123
express.,Express,70
"beggar,",mendiant,125
content;,contenu,270
parts;,les pièces,112
DRAMATIS,dramatis,36
"ENOBARBUS,",énobarbus,154
"DOLABELLA,",Dolabella,39
Pompey,pompey,211
SOOTHSAYER,devin,43
Queen,reine,989
Egypt,Egypte,66
sister,sœur,238
measure.,mesure,110
"LADIES,",Dames,148
"train,",train,203
Behold,voir,199
earth.,Terre,380
MESSENGER.,Messager,334
longer;,plus long,112
"Queen,",reine,989
Excellent,excellent,125
"laugh,",rire,243
people.,gens,232
queen;,reine,989
train,train,203
speaks,parle,129
happy!,heureux,243
soothsayer,devin,43
Queen?,reine,989
Soothsayer!,devin,43
SOOTHSAYER.,devin,43
ENOBARBUS,énobarbus,154
ENOBARBUS.,énobarbus,154
drink.,boisson,218
flesh.,la chair,142
forbid!,interdire,86
fortune!,fortune,485
kings,rois,150
excellent!,excellent,125
approach.,approche,103
names.,des noms,50
witch.,sorcière,139
worse!,pire,178
"worse,",pire,178
weight;,poids,63
people!,gens,232
deadly,mortel,51
Queen.,reine,989
mirth;,gaieté,53
sudden,soudain,129
Enobarbus!,énobarbus,154
force,Obliger,276
coward.,lâche,150
malice,malice,72
utter.,prononcer,121
weeds,mauvaises herbes,44
there!,Là,3094
"sickness,",maladie,54
bears.,ours,110
Forbear,ancêtre,65
itself.,lui-même,240
"occasion,",occasion,91
dying.,en train de mourir,54
thought.,pensée,682
tears;,larmes,294
piece,pièce,143
earth;,Terre,380
absence.,absence,55
"people,",gens,232
soldier;,soldat,491
poison.,poison,128
"mirth,",gaieté,53
"Quick,",rapide,328
return.,revenir,281
cross,traverser,126
forbear;,ancêtre,65
matter?,matière,385
"madness,",la démence,68
"farewell,",adieu,355
Egypt.,Egypte,66
queen:,reine,989
awhile;,quelque temps,102
Breed,race,110
"strength,",force,143
"Pompey,",pompey,211
change.,changement,246
"particular,",particulier,72
water?,eau,207
Quarrel,querelle,129
advice.,Conseil,43
"servant,",serviteur,543
loves.,aime,225
trial.,procès,65
scene,scène,807
hence;,Par conséquent,583
"victory,",la victoire,47
letter;,lettre,384
natural,Naturel,105
sweat.,transpiration,53
drums,tambours,42
judgment.,jugement,117
abroad.,à l'étranger,64
"repair,",réparation,52
motion.,mouvement,113
Taken,pris,104
Leave,laisser,748
follow;,suivre,562
drink,boisson,218
field;,champ,242
council.,conseil,58
"abroad,",à l'étranger,64
treason!,trahison,116
pleasure?,plaisir,258
affections?,affections,40
Indeed?,En effet,438
"affections,",affections,40
horse?,cheval,335
"horse,",cheval,335
horse;,cheval,335
"ground,",sol,182
Sovereign,souverain,182
"Egypt,",Egypte,66
merry?,joyeux,170
merry.,joyeux,170
disposition!,disposition,51
beggar.,mendiant,125
"POMPEY,",pompey,211
POMPEY.,pompey,211
"throne,",trône,75
people,gens,232
"dinner,",dîner,98
doors.,des portes,62
carry.,porter,113
false.,faux,355
dreams.,rêves,46
field,champ,242
deliver:,livrer,200
"opinion,",opinion,97
"although,",bien que,79
themselves;,se,159
hands.,mains,342
"Enobarbus,",énobarbus,154
passion;,la passion,147
"yonder,",là-bas,74
heard.,entendu,364
Murder,meurtre,215
Touch,toucher,315
"terms,",termes,75
Should,devrait,1716
intend,avoir l'intention,97
intent,intention,74
cause?,cause,549
"quarrel,",querelle,129
"fought,",combattu,68
another!,un autre,455
"wives,",épouses,65
morning;,Matin,134
rather;,plutôt,323
knowledge.,connaissance,99
Truth,vérité,349
Speaks,parle,129
"instant,",instant,85
presence;,présence,107
stone!,calcul,235
speech;,discours,163
spoke;,parlait,219
Dream,rêver,211
Further,plus loin,194
grace;,la grâce,719
again!,encore,1364
Pompey;,pompey,211
report;,rapport,186
About,sur,415
together!,ensemble,281
company.,entreprise,215
indeed!,En effet,438
"silver,",argent,72
"stroke,",accident vasculaire cérébral,64
"person,",la personne,453
Stood,se tenait,107
office.,Bureau,351
supper.,souper,64
Royal,Royal,255
wench!,jeune fille,85
street;,rue,133
Never!,jamais,1023
custom,Douane,72
Other,autre,2845
Become,devenir,210
abide,respecter,45
Egypt?,Egypte,66
reason.,raison,498
"Noble,",noble,754
chance.,chance,211
battle,bataille,146
"nought,",néant,58
Egypt;,Egypte,66
ready;,prêt,294
Follow,suivre,562
Trouble,difficulté,133
about.,sur,415
success!,Succès,88
alone!,seul,237
"There,",Là,3094
merry,joyeux,170
patience;,la patience,208
barren.,Dénudé,43
"villain,",scélérat,362
mistress;,maîtresse,461
"First,",première,1175
throat.,gorge,78
trumpet,trompette,212
strike,la grève,205
"lives,",vies,213
villain!,scélérat,362
proud.,fier,249
"Rogue,",coquin,108
yourself:,toi même,280
innocent.,innocent,56
myself;,moi même,567
"honest,",honnête,406
Themselves,se,159
still?,encore,588
"didst,",didst,183
crave,demander,73
"times,",fois,302
faint.,perdre connaissance,76
Report,rapport,186
chamber.,chambre,220
POMPEY,pompey,211
trumpet;,trompette,212
Chief,chef,223
"Capitol,",Capitole,43
point.,point,256
"follow,",suivre,562
offer.,offre,178
offer;,offre,178
"blows,",coups,73
Pompey.,pompey,211
heard;,entendu,364
toward.,vers,177
Enjoy,prendre plaisir,71
lords?,seigneurs,594
"known,",connu,233
faces,visages,53
slander:,calomnie,92
fight,bats toi,322
Marcus,Marcus,138
affection,affection,118
occasion,occasion,91
already;,déjà,148
"disposition,",disposition,51
shortly,prochainement,46
faith.,Foi,464
lords.,seigneurs,594
world?,monde,925
twice.,deux fois,72
Repent,se repentir,77
welcome!,Bienvenue,380
drunk.,ivre,114
feast.,le banquet,132
Strike,la grève,205
emperor!,empereur,112
drink?,boisson,218
"round,",rond,282
round!,rond,282
Strong,fort,279
speaks.,parle,129
shore.,rive,85
farewell,adieu,355
Sound,du son,333
"flourish,",fleurir,146
"struck,",frappé,84
person.,la personne,453
"lieutenant,",lieutenant,81
captain;,capitaine,206
Athens;,Athènes,72
"whither,",où,89
parted?,séparé,56
sickness.,maladie,54
"Think,",pense,1368
Kneel,s'agenouiller,116
kneel,s'agenouiller,116
wonder.,merveille,165
"Sister,",sœur,238
"sister,",sœur,238
comfort!,confort,254
brother!,frère,734
house;,maison,662
slain.,tué,127
still;,encore,588
farewell!,adieu,355
sound.,du son,333
fellow?,compagnon,445
Didst,didst,183
dread,crainte,121
Where?,où,1873
Between,entre,241
speak:,parler,1413
majesty,majesté,270
"Remember,",rappelles toi,200
certain?,certain,236
knowing;,connaissance,53
Excellent.,excellent,125
Guess,devine,55
widow.,veuve,142
Widow?,veuve,142
round?,rond,282
Round,rond,282
colour?,Couleur,168
majesty?,majesté,270
"defend,",défendre,85
write.,écrire,162
Athens.,Athènes,72
teeth.,les dents,56
"believe,",croyez,253
Stomach,estomac,62
unhappy,malheureux,39
"between,",entre,241
parts.,les pièces,112
Husband,mari,373
Yourself,toi même,280
raise,élever,298
haste;,hâte,219
slain,tué,127
going;,Aller,111
meeting,réunion,56
success?,Succès,88
action;,action,234
throat,gorge,78
queen.,reine,989
kings:,rois,150
"Already,",déjà,148
accuse?,accuser,53
sister:,sœur,238
"whore,",putain,104
parted,séparé,56
other!,autre,2845
Cheer,acclamation,131
sister!,sœur,238
doubt,doute,255
person?,la personne,453
maids,servantes,48
"kingdom,",Royaume,127
Appear,apparaître,231
Emperor.,empereur,112
sweet?,sucré,925
fought;,combattu,68
heavy.,lourd,169
knowledge;,connaissance,99
chance,chance,211
"Emperor,",empereur,112
Trust,confiance,244
right.,droite,878
"Soldier,",soldat,491
beyond,au-delà,60
Emperor,empereur,112
battle;,bataille,146
Lieutenant,lieutenant,81
longer.,plus long,112
passion?,la passion,147
fight?,bats toi,322
vantage,avantage,133
flies.,mouches,62
Endure,supporter,81
shame;,la honte,366
Toward,vers,177
little;,peu,484
command;,commander,291
Comfort,confort,254
Queen!,reine,989
dishonour.,déshonorer,70
Command,commander,291
"affection,",affection,118
blows.,coups,73
DOLABELLA.,Dolabella,39
"Approach,",approche,103
Dispatch;,envoi,92
"Promise,",promettre,160
"cunning,",ruse,81
Enobarbus?,énobarbus,154
other?,autre,2845
follow?,suivre,562
answer?,répondre,480
Ourselves,nous-mêmes,188
"happiness,",bonheur,59
"dream,",rêver,211
Answer,répondre,480
SERVANT,serviteur,543
"please,",S'il vous plaît,449
Right,droite,878
royal!,Royal,255
staff,Personnel,532
"messenger,",Messager,334
course.,cours,253
Wisdom,sagesse,105
Approach,approche,103
Authority,autorité,55
stars!,étoiles,71
mercy.,pitié,187
again:,encore,1364
"cause,",cause,549
pardon?,pardon,327
Henceforth,désormais,41
Shake,secouer,395
entertainment;,divertissement,38
empty,vide,54
stone,calcul,235
Together,ensemble,281
"storm,",orage,81
satisfied.,satisfait,54
heart?,cœur,1350
"teeth,",les dents,56
personal,personnel,237
Laugh,rire,243
challenge.,défi,57
Enough,assez,313
waste.,déchets,75
"strike,",la grève,205
shadow.,ombre,115
shame!,la honte,366
witch,sorcière,139
sense;,sens,187
"supper,",souper,64
"Brother,",frère,734
Heard,entendu,364
Nothing.,rien,640
Belike,être comme,42
watch.,regarder,266
THIRD,troisième,247
"Peace,",paix,556
noise?,bruit,117
Content.,contenu,270
"armour,",armure,57
Sleep,sommeil,438
armour,armure,57
"False,",faux,355
false;,faux,355
storm.,orage,81
Dispatch.,envoi,92
Welcome.,Bienvenue,380
Early,de bonne heure,109
CAPTAIN.,capitaine,206
General.,général,236
"morning,",Matin,134
close;,proche,168
chamber?,chambre,220
fight!,bats toi,322
heels.,talons,83
morning?,Matin,134
after;,après,543
Write,écrire,162
DOLABELLA,Dolabella,39
alive;,vivant,93
freely.,librement,55
Affairs,affaires,68
trust.,confiance,244
Enobarbus.,énobarbus,154
emperor,empereur,112
villain,scélérat,362
"bounty,",prime,42
blows,coups,73
thought;,pensée,682
Field,champ,242
Drums,tambours,42
heads.,têtes,131
victory.,la victoire,47
valour.,valeur,101
march;,Mars,169
whole.,entier,161
fairy,Fée,58
commend,saluer,155
Chain,chaîne,81
lords!,seigneurs,594
shape.,forme,132
peril.,péril,65
company;,entreprise,215
guard.,garde,202
WATCH.,regarder,266
"witness,",témoin,142
hateful,odieux,39
Enobarbus,énobarbus,154
repent!,se repentir,77
Peace!,paix,556
Throw,jeter,213
sleep.,sommeil,438
"Awake,",éveillé,87
awake;,éveillé,87
guard;,garde,202
Order,ordre,145
given;,donné,205
shall;,doit,3865
whore!,putain,104
"heels,",talons,83
Egypt!,Egypte,66
loose,ample,60
triumph.,triomphe,79
Patient,patient,130
peace!,paix,556
Death,décès,931
"Heart,",cœur,1350
farther.,plus loin,43
Itself,lui-même,240
strength.,force,143
courage,courage,89
woman;,femme,512
Disgrace,disgrâce,58
country.,pays,243
drawn.,tiré,92
"emperor,",empereur,112
chief.,chef,223
myself!,moi même,567
GUARD.,garde,202
enter,entrer,2519
Lives,vies,213
"dread,",crainte,121
guard!,garde,202
"Exeunt,",sortir,1035
hence!,Par conséquent,583
shore,rive,85
below!,au dessous de,54
"dying,",en train de mourir,54
dying;,en train de mourir,54
"awhile,",quelque temps,102
"quick,",rapide,328
weight.,poids,63
fools.,imbéciles,104
sight!,vue,239
speak;,parler,1413
offence.,infraction,121
safety.,sécurité,74
"Gentle,",doux,1237
trust;,confiance,244
sovereign.,souverain,182
"woman,",femme,512
nought;,néant,58
Patience,la patience,208
cheer!,acclamation,131
"brave,",courageux,223
"noble,",noble,754
Exeunt;,sortir,1035
Council,conseil,58
"Dolabella,",Dolabella,39
yield;,rendement,202
makes.,fait du,360
round,rond,282
minister,ministre,62
knife;,couteau,56
bodies.,corps,44
Friend,ami,1017
season.,saison,69
stroke,accident vasculaire cérébral,64
Dolabella!,Dolabella,39
ready.,prêt,294
study,étude,68
kingdom.,Royaume,127
"obedience,",obéissance,60
"window,",la fenêtre,69
Guard,garde,202
death?,décès,931
dreams;,rêves,46
trick?,tour,94
thunder.,tonnerre,90
stuff,des trucs,70
"fancy,",fantaisie,68
quite.,assez,117
great;,génial,1147
triumph?,triomphe,79
change;,changement,246
peril,péril,65
yours;,le tiens,609
wings.,ailes,57
"Slave,",esclave,176
visit,visite,97
"Forbear,",ancêtre,65
pleasure;,plaisir,258
"merchant,",marchande,78
Queen;,reine,989
provided;,à condition de,259
haste.,hâte,219
"Behold,",voir,199
promise.,promettre,160
"certain,",certain,236
whore.,putain,104
liberty.,liberté,73
"CLOWN,",pitre,355
"Avoid,",éviter,52
people;,gens,232
"crown,",couronne,395
crown;,couronne,395
quick.,rapide,328
wrath.,colère,73
"Husband,",mari,373
title!,Titre,121
"wretch,",misérable,153
dispatch.,envoi,92
asleep?,endormi,60
Dolabella,Dolabella,39
soldier!,soldat,491
"royal,",Royal,255
"OLIVER,",oliver,58
"ORLANDO,",orlando,164
Oliver,oliver,58
OLIVER,oliver,58
shepherd,berger,145
"PHEBE,",phebe,48
Forest,forêt,98
ORLANDO,orlando,164
ORLANDO.,orlando,164
"remember,",rappelles toi,200
"blessing,",bénédiction,67
profit.,profit,65
Besides,outre,109
remedy,remède,59
avoid,éviter,52
Yonder,là-bas,74
OLIVER.,oliver,58
Nothing;,rien,640
brother;,frère,734
condition,état,89
courtesy,courtoisie,66
reverence.,révérence,44
villain?,scélérat,362
villain;,scélérat,362
please;,S'il vous plaît,449
Begin,commencer,188
worship?,culte,133
morrow,demain,353
worship.,culte,133
court?,tribunal,474
lands,terres,68
father?,père,1157
"cousin,",cousin,287
uncle,oncle,256
"Orlando,",orlando,164
disposition,disposition,51
credit;,crédit,73
tender;,soumissionner,176
brook,ruisseau,93
France;,France,529
"poison,",poison,128
"device,",dispositif,49
worship!,culte,133
gentle;,doux,1237
learned;,appris,56
device;,dispositif,49
mirth,gaieté,53
"estate,",biens,58
affection.,affection,118
monster;,monstre,96
safety,sécurité,74
Nature.,la nature,412
argument?,argument,78
"Nature,",la nature,412
"Mistress,",maîtresse,461
messenger?,Messager,334
knowledge?,connaissance,99
"knight,",Chevalier,189
"Enough,",assez,313
sport.,sport,168
Sport!,sport,168
smell.,odeur,69
ladies.,Dames,148
"second,",seconde,585
third.,troisième,247
weeping.,larmes,62
cousin?,cousin,287
ready,prêt,294
"Yonder,",là-bas,74
coming.,venir,172
young;,Jeune,528
cousin!,cousin,287
ladies;,Dames,148
forward.,vers l'avant,103
nothing;,rien,640
empty.,vide,54
earth?,Terre,380
"Ready,",prêt,294
"Grace,",la grâce,719
before;,avant,840
Grace;,la grâce,719
youth;,jeunesse,318
"promise,",promettre,160
happy.,heureux,243
chain,chaîne,81
enemies.,ennemis,111
tongue?,langue,503
judge,juge,121
"niece,",nièce,65
"Hereafter,","ci-après, par la suite",49
mercy!,pitié,187
world!,monde,925
affections.,affections,40
"sudden,",soudain,129
dearly?,chèrement,42
dearly;,chèrement,42
Orlando.,orlando,164
anger.,colère,365
uncle?,oncle,256
cousin.,cousin,287
traitor.,traitre,205
Treason,trahison,116
"traitor,",traitre,205
together;,ensemble,281
"patience,",la patience,208
"sentence,",phrase,45
Maids,servantes,48
"along,",le long de,112
state:,Etat,405
Devise,concevoir,57
smile,sourire,125
Finds,trouve,42
everything.,tout,42
"fools,",imbéciles,104
"Should,",devrait,1716
Almost,presque,161
"brook,",ruisseau,93
weeping,larmes,62
fashion.,mode,125
straight.,tout droit,161
"ladies,",Dames,148
"chamber,",chambre,220
"clown,",pitre,355
surely,sûrement,42
suddenly;,tout à coup,50
"gentle,",doux,1237
valiant?,vaillant,162
enemies?,ennemis,111
youth!,jeunesse,318
doors;,des portes,62
lives.,vies,213
servant;,serviteur,543
sweat,transpiration,53
having;,ayant,158
content.,contenu,270
"Master,",Maître,991
weary.,se lasser,87
"apparel,",vêtements,48
guess;,devine,55
"guess,",devine,55
"Phebe,",phebe,48
Phebe!,phebe,48
shepherd!,berger,145
Smile;,sourire,125
clown!,pitre,355
"shepherd,",berger,145
"absence,",absence,55
"profit,",profit,65
suddenly.,tout à coup,50
forest,forêt,98
"throat,",gorge,78
names;,des noms,50
while;,tandis que,437
Gross,brut,96
cheer,acclamation,131
awhile,quelque temps,102
labour.,la main d'oeuvre,129
desert.,désert,65
beast;,la bête,130
company?,entreprise,215
"forest,",forêt,98
Provided,à condition de,259
opinion,opinion,97
